fecha,texto,emocion
2024-03-29,Preocupación miedo preocupación preocupación presión preocupación nervios miedo.,ansiedad
2023-10-13,Sobrecarga presión presión caos caos sobrecarga caos caos agobio sobrecarga agobio.,estrés
2022-05-09,Éxito familia familia risas familia familia celebración familia logro.,felicidad
2023-12-29,Caos agobio agobio caos caos caos fatiga caos presión caos.,estrés
2022-11-02,Risas celebración familia éxito logro celebración familia celebración familia celebración familia familia.,felicidad
2024-10-13,Fatiga presión caos sobrecarga presión caos agobio fatiga caos fatiga presión agobio.,estrés
2023-03-16,Injusticia conflicto mentira ira mentira mentira injusticia.,enojo
2024-05-16,Pérdida llorar solitario solitario vacío llorar vacío nostalgia llorar vacío nostalgia llorar llorar.,tristeza
2023-10-06,Caos caos presión sobrecarga presión presión agobio presión presión presión.,estrés
2023-09-28,Risas celebración celebración éxito familia familia éxito éxito familia risas logro celebración familia.,felicidad
2022-10-12,Miedo presión nervios incertidumbre incertidumbre nervios incertidumbre miedo presión presión miedo.,ansiedad
2023-03-10,Celebración familia familia éxito logro celebración.,felicidad
2023-10-15,Solitario nostalgia vacío vacío llorar solitario solitario solitario nostalgia vacío llorar llorar llorar.,tristeza
2023-09-15,Solitario solitario llorar llorar llorar llorar vacío pérdida llorar nostalgia solitario vacío.,tristeza
2024-07-06,Incertidumbre presión presión incertidumbre incertidumbre preocupación miedo preocupación nervios presión incertidumbre.,ansiedad
2022-12-30,Familia familia éxito éxito familia logro familia.,felicidad
2022-04-10,Mentira conflicto conflicto conflicto traición traición injusticia mentira conflicto traición traición.,enojo
2024-04-19,Fatiga sobrecarga presión presión sobrecarga sobrecarga.,estrés
2023-01-19,Nervios incertidumbre preocupación incertidumbre incertidumbre incertidumbre presión preocupación.,ansiedad
2023-08-23,Presión presión agobio presión fatiga caos sobrecarga caos agobio presión sobrecarga presión sobrecarga.,estrés
2023-11-01,Familia risas logro celebración familia risas éxito éxito.,felicidad
2025-01-15,Incertidumbre incertidumbre miedo preocupación miedo incertidumbre presión miedo miedo presión presión incertidumbre presión.,ansiedad
2024-07-30,Presión agobio caos presión sobrecarga fatiga agobio caos caos sobrecarga.,estrés
2023-05-22,Traición conflicto conflicto conflicto conflicto ira mentira mentira injusticia traición.,enojo
2024-08-12,Miedo preocupación miedo presión presión miedo nervios preocupación presión nervios preocupación incertidumbre presión.,ansiedad
2024-10-08,Pérdida solitario pérdida vacío llorar nostalgia vacío pérdida solitario vacío llorar.,tristeza
2023-10-09,Vacío nostalgia nostalgia pérdida nostalgia nostalgia solitario llorar pérdida vacío solitario nostalgia llorar.,tristeza
2022-09-04,Logro celebración logro risas risas celebración éxito celebración.,felicidad
2022-12-17,Risas familia familia risas risas éxito éxito.,felicidad
2025-03-01,Fatiga caos presión presión agobio presión presión sobrecarga presión presión.,estrés
2023-04-25,Familia celebración logro celebración risas risas éxito.,felicidad
2023-06-11,Traición ira injusticia injusticia ira injusticia conflicto traición traición injusticia ira traición injusticia.,enojo
2024-04-22,Preocupación preocupación presión nervios presión preocupación miedo miedo incertidumbre incertidumbre incertidumbre miedo.,ansiedad
2023-04-22,Sobrecarga sobrecarga caos presión presión agobio.,estrés
2022-07-11,Nervios preocupación preocupación preocupación presión preocupación.,ansiedad
2024-08-15,Sobrecarga fatiga presión agobio caos caos caos agobio agobio presión presión fatiga.,estrés
2024-05-23,Ira traición ira conflicto injusticia traición injusticia mentira conflicto conflicto traición mentira ira.,enojo
2022-05-24,Caos presión fatiga agobio presión caos fatiga sobrecarga.,estrés
2025-02-16,Éxito logro risas logro éxito logro éxito familia celebración celebración risas.,felicidad
2024-10-02,Miedo miedo miedo nervios miedo nervios presión incertidumbre miedo.,ansiedad
2024-02-03,Solitario pérdida nostalgia llorar vacío vacío llorar vacío.,tristeza
2023-10-13,Presión preocupación presión preocupación incertidumbre miedo preocupación miedo miedo.,ansiedad
2022-06-11,Agobio presión sobrecarga fatiga fatiga presión caos presión caos sobrecarga agobio.,estrés
2022-03-27,Risas logro éxito risas risas familia risas celebración risas.,felicidad
2022-03-16,Miedo nervios incertidumbre miedo nervios presión miedo nervios miedo.,ansiedad
2024-06-30,Mentira traición injusticia conflicto injusticia conflicto ira injusticia mentira mentira.,enojo
2023-09-14,Preocupación preocupación nervios preocupación presión presión incertidumbre presión.,ansiedad
2023-03-04,Miedo nervios nervios miedo presión miedo miedo incertidumbre nervios miedo incertidumbre miedo.,ansiedad
2023-11-19,Miedo preocupación presión preocupación incertidumbre miedo presión preocupación preocupación preocupación.,ansiedad
2023-05-21,Ira ira conflicto mentira ira conflicto injusticia conflicto injusticia ira ira injusticia mentira.,enojo
2022-05-18,Traición ira mentira traición traición conflicto ira traición.,enojo
2024-01-01,Familia logro familia logro logro éxito logro.,felicidad
2022-10-15,Pérdida vacío vacío nostalgia nostalgia pérdida llorar llorar.,tristeza
2023-12-23,Vacío pérdida pérdida nostalgia solitario llorar pérdida vacío pérdida.,tristeza
2023-02-03,Caos presión caos presión fatiga caos sobrecarga fatiga presión.,estrés
2023-12-07,Sobrecarga caos sobrecarga sobrecarga agobio presión sobrecarga.,estrés
2024-03-27,Caos presión caos presión caos caos presión caos fatiga sobrecarga sobrecarga.,estrés
2024-06-10,Éxito logro éxito familia celebración risas éxito risas celebración logro logro.,felicidad
2024-09-14,Conflicto ira conflicto mentira mentira injusticia ira traición.,enojo
2024-11-09,Fatiga presión sobrecarga caos presión caos.,estrés
2024-03-15,Fatiga agobio fatiga fatiga sobrecarga sobrecarga fatiga sobrecarga sobrecarga fatiga.,estrés
2023-11-01,Miedo nervios nervios preocupación miedo nervios miedo nervios incertidumbre nervios preocupación.,ansiedad
2022-05-31,Pérdida vacío llorar vacío llorar nostalgia solitario llorar solitario solitario solitario.,tristeza
2024-11-08,Celebración éxito celebración logro risas celebración familia celebración éxito éxito familia.,felicidad
2022-12-16,Injusticia conflicto ira traición conflicto traición conflicto mentira ira conflicto mentira traición.,enojo
2022-04-02,Presión caos fatiga presión presión fatiga.,estrés
2024-10-26,Éxito logro celebración risas familia celebración risas risas éxito éxito.,felicidad
2024-08-15,Preocupación preocupación incertidumbre presión preocupación incertidumbre preocupación presión miedo preocupación nervios nervios nervios.,ansiedad
2023-03-15,Éxito celebración celebración risas risas familia familia logro éxito éxito familia familia celebración.,felicidad
2023-10-22,Solitario solitario solitario llorar pérdida vacío pérdida.,tristeza
2023-08-19,Agobio presión agobio presión sobrecarga presión caos fatiga presión agobio.,estrés
2024-10-20,Preocupación incertidumbre miedo miedo preocupación incertidumbre presión presión preocupación preocupación nervios incertidumbre nervios.,ansiedad
2024-09-23,Agobio presión caos fatiga presión sobrecarga.,estrés
2022-12-23,Preocupación preocupación incertidumbre nervios incertidumbre preocupación incertidumbre nervios preocupación incertidumbre miedo presión incertidumbre.,ansiedad
2023-03-07,Miedo nervios incertidumbre incertidumbre preocupación nervios presión presión preocupación miedo nervios incertidumbre.,ansiedad
2023-03-26,Incertidumbre incertidumbre nervios preocupación nervios nervios.,ansiedad
2022-10-09,Miedo miedo nervios preocupación incertidumbre presión preocupación presión presión presión preocupación.,ansiedad
2022-08-03,Sobrecarga sobrecarga fatiga presión agobio presión presión agobio agobio.,estrés
2023-09-23,Miedo miedo nervios presión miedo incertidumbre preocupación preocupación nervios presión nervios preocupación incertidumbre.,ansiedad
2025-02-05,Fatiga caos caos sobrecarga caos fatiga presión fatiga caos fatiga.,estrés
2024-03-30,Éxito éxito risas risas familia logro logro familia logro.,felicidad
2024-08-06,Fatiga fatiga agobio agobio agobio agobio.,estrés
2024-03-05,Llorar llorar llorar solitario vacío solitario.,tristeza
2023-03-20,Agobio sobrecarga presión fatiga sobrecarga caos caos sobrecarga sobrecarga.,estrés
2023-06-05,Ira injusticia traición mentira ira traición.,enojo
2024-04-29,Mentira ira traición injusticia conflicto traición.,enojo
2024-07-28,Logro familia risas celebración risas familia familia risas.,felicidad
2024-07-03,Mentira traición conflicto conflicto ira conflicto injusticia mentira conflicto.,enojo
2023-08-13,Familia logro éxito éxito éxito familia familia logro celebración familia éxito celebración familia.,felicidad
2023-11-08,Celebración risas familia logro celebración logro logro.,felicidad
2023-10-13,Pérdida solitario nostalgia solitario vacío llorar solitario llorar vacío vacío.,tristeza
2023-02-02,Incertidumbre preocupación miedo presión presión presión incertidumbre nervios miedo nervios.,ansiedad
2022-12-19,Éxito logro familia éxito logro familia logro.,felicidad
2023-08-23,Ira traición injusticia traición conflicto traición ira conflicto traición.,enojo
2023-05-08,Familia risas risas familia logro celebración celebración logro logro logro éxito.,felicidad
2023-07-15,Ira mentira injusticia ira traición ira traición injusticia traición mentira mentira.,enojo
2023-07-09,Presión miedo preocupación incertidumbre presión presión presión preocupación preocupación nervios miedo miedo nervios.,ansiedad
2024-09-05,Éxito familia familia éxito éxito logro risas logro éxito.,felicidad
2025-01-01,Pérdida vacío llorar solitario pérdida nostalgia vacío llorar solitario nostalgia.,tristeza
2023-10-29,Éxito celebración familia risas logro familia risas celebración.,felicidad
2024-09-06,Celebración risas éxito celebración familia familia celebración éxito éxito risas celebración.,felicidad
2023-01-12,Risas risas éxito familia logro risas risas.,felicidad
2023-09-28,Llorar vacío solitario pérdida vacío solitario pérdida solitario nostalgia vacío.,tristeza
2022-08-13,Traición injusticia injusticia ira traición injusticia mentira conflicto.,enojo
2023-10-03,Éxito risas logro familia celebración familia celebración celebración éxito éxito.,felicidad
2024-09-25,Solitario pérdida vacío nostalgia pérdida solitario.,tristeza
2023-02-20,Éxito familia risas risas celebración logro celebración risas risas familia logro éxito.,felicidad
2023-03-19,Caos presión sobrecarga sobrecarga caos fatiga.,estrés
2022-03-13,Injusticia conflicto ira injusticia mentira traición mentira traición injusticia injusticia.,enojo
2024-07-13,Conflicto mentira conflicto mentira injusticia conflicto conflicto conflicto ira traición ira conflicto ira mentira.,enojo
2024-10-23,Fatiga caos fatiga presión sobrecarga agobio sobrecarga presión sobrecarga sobrecarga.,estrés
2022-10-10,Solitario pérdida pérdida solitario nostalgia vacío nostalgia llorar llorar nostalgia.,tristeza
2023-09-28,Vacío solitario solitario pérdida solitario nostalgia nostalgia pérdida pérdida nostalgia nostalgia vacío nostalgia.,tristeza
2023-09-16,Ira mentira conflicto traición traición traición traición injusticia conflicto.,enojo
2022-10-22,Presión fatiga caos caos presión presión presión presión caos fatiga agobio presión agobio fatiga.,estrés
2022-07-29,Pérdida vacío pérdida llorar solitario pérdida pérdida nostalgia nostalgia.,tristeza
2022-10-19,Mentira conflicto ira mentira ira ira ira ira traición ira traición ira conflicto.,enojo
2023-04-06,Traición injusticia mentira mentira conflicto traición conflicto mentira injusticia ira mentira.,enojo
2024-02-16,Éxito familia familia risas logro logro logro familia éxito celebración risas celebración.,felicidad
2024-08-14,Preocupación miedo preocupación incertidumbre nervios incertidumbre nervios preocupación nervios presión.,ansiedad
2023-09-12,Presión presión presión presión presión preocupación miedo incertidumbre presión presión incertidumbre incertidumbre.,ansiedad
2022-09-18,Conflicto injusticia injusticia ira conflicto conflicto ira traición conflicto injusticia mentira mentira.,enojo
2022-04-28,Llorar pérdida solitario nostalgia nostalgia nostalgia.,tristeza
2023-12-21,Logro familia risas risas éxito risas risas familia risas celebración.,felicidad
2023-11-24,Preocupación preocupación presión preocupación nervios presión preocupación nervios preocupación nervios miedo nervios.,ansiedad
2023-09-27,Vacío llorar solitario vacío solitario nostalgia pérdida llorar vacío llorar pérdida.,tristeza
2022-06-24,Injusticia injusticia ira traición conflicto injusticia conflicto ira traición traición conflicto.,enojo
2023-11-11,Conflicto injusticia traición ira injusticia injusticia.,enojo
2023-12-13,Nostalgia nostalgia vacío vacío pérdida pérdida nostalgia pérdida pérdida vacío llorar vacío llorar.,tristeza
2022-10-14,Conflicto traición traición conflicto conflicto ira conflicto.,enojo
2023-05-28,Incertidumbre presión incertidumbre incertidumbre nervios miedo nervios incertidumbre preocupación miedo.,ansiedad
2023-01-20,Presión incertidumbre incertidumbre preocupación incertidumbre preocupación presión preocupación presión.,ansiedad
2023-12-03,Conflicto mentira injusticia mentira traición conflicto injusticia injusticia injusticia.,enojo
2023-06-11,Miedo miedo presión nervios nervios miedo nervios nervios presión miedo miedo.,ansiedad
2022-05-15,Nostalgia vacío vacío llorar vacío solitario llorar pérdida vacío vacío pérdida vacío vacío.,tristeza
2024-05-11,Preocupación miedo presión miedo presión presión presión incertidumbre presión.,ansiedad
2022-08-24,Pérdida nostalgia solitario solitario solitario pérdida solitario vacío nostalgia.,tristeza
2023-08-17,Caos fatiga caos fatiga presión agobio presión caos.,estrés
2024-02-14,Llorar nostalgia solitario nostalgia solitario solitario.,tristeza
2022-11-26,Celebración celebración celebración celebración éxito celebración éxito familia éxito celebración éxito risas éxito.,felicidad
2022-12-05,Solitario vacío nostalgia vacío nostalgia llorar pérdida.,tristeza
2023-09-06,Presión incertidumbre preocupación miedo incertidumbre incertidumbre preocupación preocupación preocupación nervios miedo preocupación incertidumbre.,ansiedad
2022-05-29,Sobrecarga agobio presión presión fatiga presión fatiga sobrecarga sobrecarga sobrecarga agobio.,estrés
2023-10-10,Nervios miedo nervios incertidumbre incertidumbre incertidumbre preocupación nervios preocupación presión incertidumbre presión miedo.,ansiedad
2024-08-10,Éxito éxito logro risas logro familia éxito familia familia éxito.,felicidad
2025-02-28,Traición traición mentira mentira traición traición traición injusticia mentira injusticia traición.,enojo
2023-08-03,Presión preocupación miedo preocupación preocupación presión incertidumbre preocupación nervios presión preocupación.,ansiedad
2023-01-29,Agobio agobio fatiga sobrecarga caos agobio presión fatiga agobio fatiga fatiga fatiga caos.,estrés
2023-12-25,Solitario nostalgia nostalgia llorar llorar nostalgia.,tristeza
2024-09-25,Ira injusticia conflicto mentira ira mentira injusticia.,enojo
2024-03-21,Sobrecarga fatiga agobio sobrecarga caos fatiga sobrecarga fatiga caos sobrecarga presión caos.,estrés
2023-10-22,Celebración risas éxito logro celebración familia familia logro.,felicidad
2023-08-17,Presión preocupación incertidumbre incertidumbre preocupación nervios incertidumbre.,ansiedad
2022-10-08,Risas logro logro logro familia éxito familia celebración familia logro logro familia.,felicidad
2023-10-09,Presión preocupación preocupación preocupación incertidumbre nervios.,ansiedad
2024-09-06,Sobrecarga agobio presión fatiga agobio fatiga presión caos.,estrés
2023-12-21,Éxito celebración logro éxito logro familia celebración éxito risas risas familia.,felicidad
2022-08-05,Celebración éxito logro celebración celebración risas éxito.,felicidad
2022-03-14,Nostalgia nostalgia vacío pérdida solitario solitario vacío solitario.,tristeza
2023-12-26,Ira conflicto traición ira conflicto traición conflicto mentira mentira mentira mentira ira injusticia.,enojo
2023-05-09,Caos agobio fatiga presión caos fatiga presión caos caos sobrecarga caos presión agobio fatiga.,estrés
2022-09-07,Caos presión caos caos sobrecarga fatiga caos agobio caos presión sobrecarga agobio presión.,estrés
2023-10-20,Preocupación preocupación incertidumbre preocupación preocupación incertidumbre incertidumbre.,ansiedad
2022-12-08,Presión sobrecarga caos caos sobrecarga sobrecarga sobrecarga agobio fatiga agobio caos presión agobio.,estrés
2024-11-10,Presión presión incertidumbre nervios presión nervios incertidumbre nervios miedo presión.,ansiedad
2025-02-21,Caos caos fatiga presión agobio fatiga fatiga presión presión presión.,estrés
2023-09-07,Familia risas risas risas éxito familia familia.,felicidad
2023-08-17,Llorar pérdida vacío llorar llorar pérdida solitario nostalgia nostalgia vacío llorar pérdida pérdida pérdida.,tristeza
2023-01-29,Miedo nervios miedo preocupación miedo presión presión miedo incertidumbre incertidumbre.,ansiedad
2024-09-25,Miedo miedo preocupación nervios miedo nervios.,ansiedad
2022-08-08,Celebración celebración risas risas logro logro familia celebración éxito logro familia.,felicidad
2023-03-26,Logro familia familia logro logro éxito celebración celebración éxito.,felicidad
2022-04-15,Ira ira injusticia injusticia conflicto mentira ira traición.,enojo
2022-11-29,Nostalgia vacío pérdida llorar solitario nostalgia llorar solitario nostalgia.,tristeza
2023-07-21,Presión presión agobio presión agobio caos.,estrés
2025-01-05,Logro logro celebración éxito logro risas.,felicidad
2023-04-09,Miedo miedo miedo nervios miedo incertidumbre preocupación miedo miedo miedo presión miedo incertidumbre.,ansiedad
2022-08-01,Fatiga agobio sobrecarga sobrecarga presión agobio sobrecarga fatiga presión.,estrés
2023-10-30,Risas éxito logro logro familia familia éxito éxito éxito celebración familia familia risas.,felicidad
2022-03-28,Nostalgia solitario solitario llorar pérdida llorar solitario vacío nostalgia.,tristeza
2022-07-22,Presión preocupación preocupación preocupación miedo presión.,ansiedad
2023-04-12,Ira mentira mentira mentira mentira traición injusticia conflicto injusticia mentira conflicto injusticia conflicto.,enojo
2024-09-29,Solitario pérdida nostalgia pérdida vacío vacío solitario llorar solitario llorar llorar.,tristeza
2023-03-10,Familia éxito éxito risas éxito risas familia logro familia.,felicidad
2023-12-30,Solitario llorar llorar solitario nostalgia llorar.,tristeza
2024-05-30,Presión caos caos agobio fatiga fatiga fatiga fatiga.,estrés
2024-05-17,Solitario pérdida solitario solitario solitario vacío vacío llorar pérdida nostalgia.,tristeza
2024-07-26,Injusticia ira mentira conflicto injusticia conflicto injusticia mentira injusticia traición mentira ira.,enojo
2025-01-17,Ira traición traición injusticia traición injusticia ira conflicto traición conflicto mentira traición ira.,enojo
2022-05-24,Mentira mentira ira ira conflicto ira injusticia traición conflicto injusticia mentira.,enojo
2022-10-14,Traición mentira injusticia traición ira traición ira.,enojo
2022-07-18,Celebración familia familia logro risas éxito logro familia familia.,felicidad
2024-09-19,Pérdida llorar vacío solitario llorar solitario nostalgia.,tristeza
2025-01-30,Injusticia traición conflicto mentira conflicto conflicto.,enojo
2024-01-13,Nostalgia pérdida llorar vacío pérdida vacío solitario solitario vacío nostalgia.,tristeza
2024-06-14,Agobio caos sobrecarga presión caos sobrecarga caos sobrecarga presión caos caos agobio presión.,estrés
2022-11-04,Fatiga agobio sobrecarga fatiga caos sobrecarga agobio caos sobrecarga sobrecarga sobrecarga.,estrés
2022-07-27,Celebración familia risas logro éxito logro logro éxito logro.,felicidad
2022-04-20,Conflicto injusticia conflicto mentira injusticia mentira conflicto conflicto traición conflicto injusticia injusticia.,enojo
2023-03-26,Traición mentira mentira conflicto injusticia traición ira injusticia ira ira conflicto traición.,enojo
2024-12-14,Vacío vacío nostalgia vacío pérdida pérdida.,tristeza
2022-09-28,Celebración familia logro celebración risas éxito risas logro.,felicidad
2022-11-13,Conflicto ira conflicto mentira injusticia ira conflicto ira ira ira ira ira.,enojo
2023-12-26,Logro éxito risas éxito celebración logro familia logro risas risas.,felicidad
2024-01-08,Ira injusticia conflicto injusticia mentira traición traición conflicto.,enojo
2022-10-15,Sobrecarga caos presión caos presión sobrecarga caos.,estrés
2023-12-26,Agobio presión sobrecarga sobrecarga caos fatiga presión sobrecarga sobrecarga fatiga fatiga sobrecarga sobrecarga.,estrés
2024-07-19,Logro celebración celebración familia familia celebración celebración familia celebración risas.,felicidad
2024-02-11,Caos fatiga caos caos fatiga agobio fatiga presión agobio sobrecarga fatiga presión.,estrés
2023-04-24,Caos presión agobio fatiga caos caos presión agobio.,estrés
2024-12-11,Familia logro familia familia éxito risas éxito risas celebración.,felicidad
2022-11-29,Sobrecarga fatiga agobio agobio presión presión fatiga fatiga sobrecarga.,estrés
2022-03-30,Vacío vacío nostalgia nostalgia vacío solitario.,tristeza
2023-04-20,Nostalgia nostalgia llorar solitario vacío solitario solitario nostalgia solitario nostalgia.,tristeza
2023-08-22,Celebración familia risas éxito familia celebración éxito éxito logro éxito.,felicidad
2022-07-14,Celebración éxito familia éxito logro risas éxito.,felicidad
