fecha,texto,emocion
2023-01-26,"No soporto más esta situación, me enoja demasiado.",ira
2024-12-17,Estoy enamorado y no me da miedo decirlo.,amor
2024-06-23,Nada me motiva últimamente.,tristeza
2023-02-18,Tengo fe en que todo esto pasará.,esperanza
2024-08-28,Tengo fe en que todo esto pasará.,esperanza
2024-12-07,No esperaba que me dijera eso.,sorpresa
2023-11-29,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2025-01-18,Me siento muy avergonzado por lo que hice.,vergüenza
2024-10-14,"No soporto más esta situación, me enoja demasiado.",ira
2024-06-25,Nada me motiva últimamente.,tristeza
2024-01-19,Tengo fe en que todo esto pasará.,esperanza
2023-10-12,Creo que las cosas pueden mejorar.,esperanza
2024-11-09,Siento que no valgo nada.,depresión
2024-11-10,No puedo creer que dije eso frente a todos.,vergüenza
2023-11-09,Siento que algo malo va a suceder.,miedo
2025-01-22,Me cuesta levantarme de la cama.,depresión
2025-01-26,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-09-19,No esperaba que me dijera eso.,sorpresa
2023-02-25,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2025-01-21,Su sonrisa me cambia el día.,amor
2023-05-22,Sigo adelante porque aún tengo esperanza.,esperanza
2023-08-15,Creo que las cosas pueden mejorar.,esperanza
2023-04-04,Sigo adelante porque aún tengo esperanza.,esperanza
2025-01-29,Tengo fe en que todo esto pasará.,esperanza
2023-11-12,Estoy muy confundido con mis emociones.,confusión
2025-01-30,Me quedé sin palabras.,sorpresa
2023-10-24,Quiero desaparecer después de lo que pasó.,vergüenza
2024-09-15,Me siento culpable aunque no sé si debería.,culpa
2023-11-14,Quiero desaparecer después de lo que pasó.,vergüenza
2024-08-18,No entiendo lo que me está pasando.,confusión
2024-04-29,No puedo creer que dije eso frente a todos.,vergüenza
2023-12-09,Todo parece un caos en mi cabeza.,confusión
2024-05-10,Todo parece un caos en mi cabeza.,confusión
2024-06-10,No tengo ganas de seguir con nada.,depresión
2023-02-14,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-02-12,"Me siento vacío, como si algo faltara.",tristeza
2023-01-18,Me quedé sin palabras.,sorpresa
2023-04-18,No puedo creer que dije eso frente a todos.,vergüenza
2023-09-26,Estoy harto de que me ignoren.,ira
2024-07-17,Sigo adelante porque aún tengo esperanza.,esperanza
2023-11-24,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-02-09,Nada me motiva últimamente.,tristeza
2023-12-25,No tengo ganas de seguir con nada.,depresión
2023-06-24,Creo que las cosas pueden mejorar.,esperanza
2024-03-16,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-05-14,No esperaba que me dijera eso.,sorpresa
2024-02-02,No esperaba que me dijera eso.,sorpresa
2023-01-03,Me quedé sin palabras.,sorpresa
2024-12-17,Me cuesta levantarme de la cama.,depresión
2023-12-26,"No soporto más esta situación, me enoja demasiado.",ira
2025-03-08,Quisiera poder volver atrás y arreglarlo.,culpa
2023-03-25,Nada me motiva últimamente.,tristeza
2023-06-16,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-12-25,Sigo adelante porque aún tengo esperanza.,esperanza
2023-02-01,Nada me motiva últimamente.,tristeza
2024-02-19,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-01-12,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-09-30,Me regalaron algo que quería hace mucho.,alegría
2024-10-01,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-02-04,Estoy muy confundido con mis emociones.,confusión
2024-09-03,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-09-17,No puedo creer que dije eso frente a todos.,vergüenza
2023-01-25,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-09-25,"Me siento vacío, como si algo faltara.",tristeza
2023-07-02,Siento que algo malo va a suceder.,miedo
2024-06-04,No puedo creer que dije eso frente a todos.,vergüenza
2023-03-21,Estoy enamorado y no me da miedo decirlo.,amor
2024-05-02,"Cada vez que lo veo, me siento en paz.",amor
2024-11-10,Siento que no valgo nada.,depresión
